"Symbol";"Value";"Unit";
"te_901867";"Board-to-Board";"";
"te_110145";"2";"";
"url";"https://www.te.com/usa-en/product-2199119-4.html?te_bu=Cor&te_bu=Cor&te_type=other&te_campaign=trp_glo_buylink-pdp&elqCampaignId=29714";"";
"te_903248";"Right Angle";"";
"te_902394";"Copper Alloy";"";
"te_110156_1";"3.2";"";
"series";"M.2 NGFF";"";
"SUPPLIER";"TE Connectivity";"";
"REFERENCE";"2199119-4";"";
"te_110162";"Tape & Reel";"";
"te_110161";"50";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.PartTitle";"M.2 Connectors";"";
"te_110164";"Socket";"";
"te_901806";"Printed Circuit Board";"";
"te_904362";"Surface Mount";"";
"TraceParts.PartVersion";"1.0.8";"";
"TraceParts.PartNumber";"10-30072018-071548";"";
"DESIGN";"M.2 0.5PITCH 3.2H KEY E 15U'' AU";"";
"te_901847_1";".5";"";
"te_901846";"Board Mount";"";
"te_901866";"Power";"";
"te_110159";"E";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.InstanceId";"10-30072018-071548BM319N6W1M0GED55E0G0Z99LN";"";
"te_110152";"Gold";"";
"te_901870";"No";"";
"te_110158";"High Temperature Thermoplastic";"";
"te_110157";"Black";"";
"te_110154";"Gold Flash";"";
"te_901869";"67";"";
"TraceParts.ClassPath";"TE_CONNECTIVITY_GLOBAL:10-30072018-071548";"";
"te_110160_1";"21.9";"";
"te_110166_1";"8.7";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartStatus";"Published";"";
"te_110146";"Gold";"";
