Designator,Comment,Mid X,Mid Y,Rotation,Layer
A1,LattePanda_Mu,153.825,-149,180,top
BT1,Battery_Cell,118.750005,-189.025,180,top
C1,1uF/16V,259.25,-179.1875,-90,top
C2,4.7uF,294.85,-144.35,-90,top
C3,100nF,291.35,-144.25,-90,top
C4,22uF/10V,201.15,-149.55,0,top
C5,22uF/10V,232,-134.3,180,top
C6,22uF/10V,205.9,-149.5125,180,top
C7,22uF/10V,237.1,-134.4,0,top
C8,100nF/50V,231.9,-138.7,-90,top
C9,100nF/50V,206.1,-145.23,90,top
C10,22uF/10V,237,-142.1625,-90,top
C11,22uF/10V,195.85,-141.85,90,top
C12,22uF/10V,234.72,-142.0825,-90,top
C13,22uF/10V,198.15,-141.85,90,top
C14,22uF/10V,232.42,-142.0825,-90,top
C15,22uF/10V,201,-141.7625,90,top
C16,22uF/10V,239.4,-142.2,90,top
C17,22uF/10V,203.3,-141.7625,90,top
C18,1uF/16V,261.05,-194.45,-90,top
C19,22uF/10V,241.7,-142.2,90,top
C20,22uF/10V,205.6,-141.7625,90,top
C21,1uF/16V,248.95,-195.3,180,top
C22,100nF/50V,118.45,-172.25,-90,top
C23,100nF/50V,137.75,-180.15,-90,top
C24,100nF/50V,135.15,-167.0825,-90,top
C25,100nF/50V,136.55,-167.1,-90,top
C26,100nF/50V,132.9,-166.565,90,top
C27,100nF/50V,131.6,-166.565,90,top
C28,100nF/50V,130.4,-166.565,90,top
C29,100nF/50V,146.5,-166.85,90,top
C30,100nF/50V,142.4,-166.565,90,top
C31,100nF/50V,129.1,-166.565,90,top
C32,100nF/50V,147.6,-166.85,90,top
C33,100nF/50V,143.6,-166.5325,90,top
C34,100nF/50V,143.95,-178.75,-90,top
C35,10uF/10V,140.15,-179.85,-90,top
C36,12pF/50V,133.25,-176.65,0,top
C37,12pF/50V,133.3,-170.6,180,top
C38,100nF/50V,134.15,-182.4825,90,top
C39,22uF/10V,231.0625,-99.75,0,top
C40,100nF/50V,150.6,-183,0,top
C41,100nF/50V,150.6,-184.1,0,top
C42,100nF/50V,151.3,-187.1,-90,top
C43,100nF/50V,149.9,-187.0675,-90,top
C44,22uF/10V,151.7,-180.5,-90,top
C46,100nF/50V,205.75,-180.9175,-90,top
C47,100nF/50V,204.75,-180.9175,-90,top
C48,100nF/50V,202.05,-180.9175,-90,top
C49,100nF/50V,201.05,-180.9175,-90,top
C50,100nF/50V,198.45,-180.9175,-90,top
C51,100nF/50V,197.45,-180.9175,-90,top
C52,100nF/50V,194.65,-180.9175,-90,top
C53,100nF/50V,193.65,-180.9175,-90,top
C54,100nF/50V,177.9,-197.5,-90,top
C55,22uF/10V,236.05,-99.75,180,top
C56,100nF/50V,232.1125,-120.95,-90,top
C57,22uF/10V,241.0425,-124.2625,-90,top
C58,22uF/10V,238.8625,-124.25,-90,top
C59,22uF/10V,236.6625,-124.2625,-90,top
C60,22uF/10V,234.4625,-124.3,-90,top
C61,22uF/10V,232.2625,-124.3,-90,top
C62,22uF/10V,236.5,-116.2,180,top
C63,22uF/10V,232.4125,-116.2,0,top
C64,100nF,178.4,-163.2,180,top
C65,100nF,164.2,-174.9,0,top
C66,100nF/50V,231.05,-104.5,-90,top
C67,22uF/10V,240,-107.65,90,top
C68,100nF,288.3,-190.8,0,top
C69,20p,267.6,-186.75,-90,top
C70,20p,267.6,-198.15,90,top
C71,220nF/50V,300.7975,-172.8,0,top
C72,220nF/50V,300.7975,-170.6,0,top
C73,10uF/10V,300.64,-162.8,0,top
C74,100nF/50V,300.0725,-167.5,0,top
C75,10uF/10V,300.64,-164.6,0,top
C76,100nF/50V,300.0725,-166.2,0,top
