Designator,Val,Mid X,Mid Y,Rotation,Layer
A1,LattePanda_Mu,153.825,-148.75,180,top
BT1,Battery_Cell,118.750005,-189.025,180,top
C1,1uF/16V,232.7,-181.95,0,top
C2,4.7uF,294.85,-144.35,-90,top
C3,100nF,291.35,-144.25,-90,top
C4,22uF/10V,209.23,-176.7125,90,top
C5,22uF/10V,226.95,-174.65,-90,top
C6,22uF/10V,211.65,-176.7125,90,top
C7,22uF/10V,224.65,-174.65,-90,top
C8,100nF/50V,212.35,-168.45,-90,top
C9,100nF/50V,227.95,-166.25,-90,top
C10,22uF/10V,219.13,-165.73,-90,top
C11,22uF/10V,232.45,-175.75,90,top
C12,22uF/10V,216.85,-165.65,-90,top
C13,22uF/10V,234.75,-175.75,90,top
C14,22uF/10V,214.55,-165.65,-90,top
C15,22uF/10V,234.75,-163.1875,-90,top
C16,22uF/10V,216.75,-180.25,90,top
C17,22uF/10V,232.45,-163.1875,-90,top
C18,1uF/16V,261.05,-194.45,-90,top
C19,22uF/10V,219.05,-180.25,90,top
C20,22uF/10V,230.15,-163.1875,-90,top
C21,1uF/16V,244.85,-189.55,0,top
C22,100nF/50V,118.45,-172.25,-90,top
C23,100nF/50V,137.75,-180.15,-90,top
C24,100nF/50V,135.15,-166.55,-90,top
C25,100nF/50V,136.55,-166.5675,-90,top
C26,100nF/50V,132.9,-166.565,90,top
C27,100nF/50V,131.6,-166.565,90,top
C28,100nF/50V,130.4,-166.565,90,top
C29,100nF/50V,146.5,-166.85,90,top
C30,100nF/50V,142.4,-166.565,90,top
C31,100nF/50V,129.1,-166.565,90,top
C32,100nF/50V,147.6,-166.85,90,top
C33,100nF/50V,143.6,-166.5325,90,top
C34,100nF/50V,143.95,-178.75,-90,top
C35,100nF/50V,140.15,-179.85,-90,top
C36,12pF/50V,133.25,-176.65,0,top
C37,12pF/50V,133.3,-170.6,180,top
C38,100nF/50V,134.15,-182.4825,90,top
C39,0.1uF,261.45,-187.25,180,top
C40,100nF/50V,159.15,-182.2,-90,top
C41,100nF/50V,158,-182.2,-90,top
C42,100nF/50V,176.25,-182.05,-90,top
C43,100nF/50V,175.15,-182.05,-90,top
C44,22uF/10V,155.05,-181.85,-90,top
C45,22uF/10V,152.55,-181.85,-90,top
C46,100nF/50V,205.75,-180.9175,-90,top
C47,100nF/50V,204.75,-180.9175,-90,top
C48,100nF/50V,202.05,-180.9175,-90,top
C49,100nF/50V,201.05,-180.9175,-90,top
C50,100nF/50V,198.45,-180.9175,-90,top
C51,100nF/50V,197.45,-180.9175,-90,top
