Designator,Mid X,Mid Y,Rotation,Layer
A1,79.675,-194.4,180,top
BT1,48.3,-233.4,-180,top
C1,159.3,-228.7,0,top
C2,224.2,-189.8,-90,top
C3,220.7,-189.7,-90,top
C4,138.58,-222.1625,90,top
C5,156.3,-220.1,-90,top
C6,141,-222.1625,90,top
C7,154,-220.1,-90,top
C8,141.7,-213.9,-90,top
C9,157.3,-211.7,-90,top
C10,148.48,-211.18,-90,top
C11,161.8,-221.2,90,top
C12,146.2,-211.1,-90,top
C13,164.1,-221.2,90,top
C14,143.9,-211.1,-90,top
C15,164.1,-208.6375,-90,top
C16,146.1,-225.7,90,top
C17,161.8,-208.6375,-90,top
C18,190.4,-239.9,-90,top
C19,148.4,-225.7,90,top
C20,159.5,-208.6375,-90,top
C21,173.8,-239.5,0,top
C22,47.8,-217.7,-90,top
C23,67.1,-225.6,-90,top
C24,64.5,-212,-90,top
C25,65.9,-212.0175,-90,top
C26,62.25,-212.015,90,top
C27,60.95,-212.015,90,top
C28,59.75,-212.015,90,top
C29,76.95,-212.015,90,top
C30,71.75,-212.015,90,top
C31,58.45,-212.015,90,top
C32,78.15,-212.015,90,top
C33,72.95,-211.9825,90,top
C34,73.3,-224.2,-90,top
C35,69.5,-225.3,-90,top
C36,62.6,-222.1,0,top
C37,62.65,-216.05,180,top
C38,63.5,-227.9325,90,top
C39,190.8,-232.7,180,top
C40,91.8,-227.6,-90,top
C41,90.7,-227.6,-90,top
C42,105.6,-227.5,-90,top
C43,104.5,-227.5,-90,top
C44,84.4,-227.3,-90,top
C45,81.9,-227.3,-90,top
C46,135.1,-226.3675,-90,top
C47,134.1,-226.3675,-90,top
C48,131.4,-226.3675,-90,top
C49,130.4,-226.3675,-90,top
C50,127.8,-226.3675,-90,top
C51,126.8,-226.3675,-90,top
C52,124,-226.3675,-90,top
C53,123,-226.3675,-90,top
C54,114.1,-243,-90,top
C55,223.9,-176,180,top
C71,118.7,-140.7,180,top
C72,118.7,-138.6,180,top
C73,118.8575,-147,180,top
C74,119.425,-142.3,180,top
C75,118.8575,-145.2,180,top
C76,119.425,-143.6,180,top
C77,159.89,-132.8,90,top
C78,162.2,-132.8,90,top
C79,178.9,-139.505,0,top
C80,178.4,-144.205,0,top
C81,178.9,-141.305,0,top
C82,178.4,-142.905,0,top
C83,179.7,-232.7,0,top
C84,190.7,-235.8,180,top
C85,184.1,-232.8,180,top
C86,177.9,-214.8,0,top
D1,152.9,-242.1,-90,top
D2,160.1,-242.1,-90,top
D3,157.9875,-243,0,top
D4,152.9,-239.6,-90,top
D5,157.9875,-241.4,0,top
D6,218.7,-252.3881,0,top
D7,210.8,-252.3881,0,top
D8,137.4,-236.2,180,top
D9,152.5,-234.6,-90,top
D10,147.95,-234.6,-90,top
D11,143.4,-234.6,-90,top
D14,188.7,-239.8,-90,top
D15,173.7,-241,0,top
D16,49.8,-214.5,90,top
D17,98.6,-229.8,0,top
D18,98.6,-231.5,0,top
D19,100.1,-220.7,-90,top
D20,98.4,-220.7,-90,top
D21,118.9975,-240.3,0,top
D22,115.2,-236.2,90,top
D23,114.2,-226.5,0,top
D24,119.45,-227.225,0,top
D25,118.825,-150.2,180,top
D27,203.2,-252.3881,0,top
F3,82.2,-231.5,-90,top
F4,83.9,-231.5,-90,top
F5,115.2,-240.9,0,top
J2,154.9,-250.3,0,top
J4,41.9,-203.6,90,top
J5,67.75,-241.5,0,top
J7,95.9,-243.29,0,top
J8,124.83075,-243.4775,0,top
J9,190.425,-199,-90,top
J10,145.2,-196.88,0,top
J11,190.425,-202.6,-90,top
J12,148.8,-196.88,0,top
J13,141.6,-204.5,180,top
J14,190.425,-206.2,-90,top
J15,138,-204.5,180,top
J16,190.425,-209.8,-90,top
J18,134.7976,-140.4282,0,top
J19,164.7618,-141.2576,0,top
J20,194.4856,-187.3284,90,top
J21,172.6,-221.9,-90,top
L1,146.2,-217.65,-90,top
L2,161.7,-215.1,90,top
L3,187.5,-233.6,-90,top
M1,43.725,-215.05,-90,top
Q3,163,-229.8,-90,top
Q5,115.0625,-230.2,0,top
Q6,119.85,-222.4625,-90,top
Q7,115.4,-222.4625,-90,top
Q8,120.4,-232.9625,-90,top
R1,158,-238.1,0,top
R2,158,-239.4,0,top
R3,216.9,-249.6,180,top
R4,209,-250,180,top
R5,140,-232.7,180,top
R8,160.1,-238.9,-90,top
R10,166.2,-217.6,90,top
R11,163.5,-227,180,top
R12,165.9,-227.7,-90,top
R14,166.2,-220.4,90,top
R15,201.4,-250.1,180,top
R16,139.1,-213,90,top
R17,137.5,-213.5,-90,top
R18,154,-211.7,90,top
R19,155.3,-211.7,-90,top
R21,187.2,-239.8,-90,top
R22,176.3,-240.4,-90,top
R23,52,-222.1,180,top
R24,70.6,-186.8,90,top
R25,72,-186.8,90,top
R26,93.9,-202.7975,-90,top
R27,95.1,-202.8,-90,top
R28,79.2,-202.1,-90,top
R29,49.8,-211.3,-90,top
R30,47.8,-209.7,-90,top
R31,47.8,-214.9,-90,top
R32,68.8,-212.0175,-90,top
R33,67.4,-212.0175,-90,top
R34,60.8,-227.9,90,top
R35,66.2,-218.8,90,top
R36,62.2,-227.9,-90,top
R37,75.2,-223,-90,top
R38,112.3,-230.1,90,top
R39,115.4,-219.7,0,top
R40,118.9975,-237.5,180,top
R41,119.9,-219.6,0,top
R42,118.9975,-238.8,180,top
R43,123.2,-232.1975,90,top
R44,125.2,-232.1975,90,top
R45,126.4,-232.1975,90,top
R46,128.3,-232.1975,90,top
R47,129.5,-232.195,90,top
R48,131.4,-232.1975,90,top
R49,119.45,-225.625,0,top
R50,132.6,-232.1975,90,top
R51,114.3,-225.1,0,top
R52,134.4,-232.1975,90,top
R53,120.4,-230,180,top
R54,146.9,-138.1,-90,top
R55,147.1,-142.7,-90,top
R56,119.4,-148.6,0,top
R57,167.9,-134.8,-90,top
R58,178.4,-137.905,0,top
R59,178.4,-145.405,180,top
R60,178.4,-146.705,180,top
R61,190.7875,-230.8,180,top
R62,187.0875,-230.8,0,top
R67,183.3875,-230.8,180,top
R69,179.6875,-230.8,0,top
R70,181.8,-214.8,180,top
R71,188,-214.8,180,top
SW1,191.075,-248,180,top
SW2,175.875,-248,180,top
U1,223,-182.6,90,top
U2,157.8,-233.35,-90,top
U3,140.4,-217.4,-90,top
U4,156.1,-215.2,-90,top
U5,71.25,-218.8,90,top
U6,185.8,-221.9,90,top
U7,93.7,-230.4125,-90,top
U8,103.5,-230.8125,-90,top
U9,130.4,-236.3125,-90,top
U10,127,-236.3125,-90,top
U11,181.7125,-198.5,0,top
U12,143.9,-193.875,-90,top
U13,147.5,-193.9125,-90,top
U14,181.6875,-202.1,0,top
Y1,62.55,-219.05,180,top
