Designator,Mid X,Mid Y,Rotation,Side
C1,155.1,-73.4,90,top
C2,143.3,-69.815,90,top
C3,150.2,-69.315,180,top
C4,162.3,-66.32,90,top
C5,169.7,-66.1,90,top
C6,155.65,-66.7,180,top
C7,168.11,-72.9,180,top
C8,171.95,-76.3,0,top
C9,173.87,-73.35,-90,top
C13,144.15,-74.1,-90,top
C14,145.95,-72.4,180,top
C15,142.125,-74.6,180,top
IC1,144.8,-76.8,90,top
J1,143.3275,-62.2,0,top
J2,149.725,-62.2,0,top
J3,172.35,-93.875,0,top
J4,162.3,-60.6,90,top
J5,169.7,-60.5,90,top
J7,145.505,-97.78,0,top
L1,143.3,-67.715,90,top
L2,142,-67.715,90,top
L3,149.7,-67.715,90,top
L4,148.575,-67.74,90,top
L5,162.3,-64.215,90,top
L6,161.1,-64.2,90,top
L7,169.7,-64.1,90,top
L8,170.9,-64.1,90,top
R1,169.55,-76.4,0,top
R6,142.7,-77.225,90,top
R7,146.5,-74,90,top
R8,142.125,-75.7,0,top
R9,145.45,-74.05,-90,top
U1,154.9,-69.6,-90,top
U2,157.6,-84.5,0,top
U3,171.2,-73.8,0,top
