Comment,Designator,Footprint,JLCPCB Part Number
100P,C1,Capacitor_SMD:C_0402_1005Metric,C76699
20P,C2-5,Capacitor_SMD:C_0402_1005Metric,C107000
1.0N,C6,Capacitor_SMD:C_0402_1005Metric,C76704
1.0U,C7,Capacitor_SMD:C_0402_1005Metric,C52923
10N,C8,Capacitor_SMD:C_0402_1005Metric,C1524
4.7U,C9,Capacitor_SMD:C_0402_1005Metric,C23687
10N,C13,Capacitor_SMD:C_0402_1005Metric,C1524
56P,C14,Capacitor_SMD:C_0402_1005Metric,C107007
56P,C15,Capacitor_SMD:C_0402_1005Metric,C107007
74LVC1G86SE-7,IC1,74LVC1G86SE-7:SOT65P210X110-5N,C842497
U.FL-R-SMT_10_,J4,U.FL-R-SMT_10_:HRS_U.FL-R-SMT_10_,C88373
U.FL-R-SMT_10_,J5,U.FL-R-SMT_10_:HRS_U.FL-R-SMT_10_,C88373
3.9N,L1,Inductor_SMD:L_0402_1005Metric,C108257
150N,L2,Inductor_SMD:L_0402_1005Metric,C44566
3.9N,L3,Inductor_SMD:L_0402_1005Metric,C108257
150N,L4,Inductor_SMD:L_0402_1005Metric,C44566
3.9N,L5,Inductor_SMD:L_0402_1005Metric,C108257
150N,L6,Inductor_SMD:L_0402_1005Metric,C44566
3.9N,L7,Inductor_SMD:L_0402_1005Metric,C108257
150N,L8,Inductor_SMD:L_0402_1005Metric,C44566
1K,R1,Inductor_SMD:L_0402_1005Metric,C102748
49.9K,R6,Inductor_SMD:L_0402_1005Metric,C103072
1K,R7,Inductor_SMD:L_0402_1005Metric,C102748
100K,R8,Inductor_SMD:L_0402_1005Metric,C102750
100K,R9,Inductor_SMD:L_0402_1005Metric,C102750
