"Id;""Designator"";""Footprint"";""Quantity"";""Designation"";""Supplier and ref"";",,,
"1;""C9"";""C_0402_1005Metric"";1;""4.7U"";;;",,,
"2;""J1","J2"";""SAMTEC_MMCX-J-P-H-ST-EM1"";2;""MMCX-J-P-H-ST-EM1"";;;",,
"3;""R7","R1"";""L_0402_1005Metric"";2;""1K"";;;",,
"4;""TP3","TP1"";""TestPoint_Pad_1.0x1.0mm"";2;""TestPoint"";;;",,
"5;""C8","C13"";""C_0402_1005Metric"";2;""10N"";;;",,
"6;""C4",C5,C2,"C3"";""C_0402_1005Metric"";4;""20P"";;;"
"7;""IC1"";""SOT65P210X110-5N"";1;""74LVC1G86SE-7"";;;",,,
"8;""JP4","JP3"";""SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm"";2;""SolderJumper_2_Open"";;;",,
"9;""J7"";""2230-key-E"";1;""MDT420E01001"";;;",,,
"10;""L8",L4,L6,"L2"";""L_0402_1005Metric"";4;""150N"";;;"
"11;""R9","R8"";""L_0402_1005Metric"";2;""100K"";;;",,
"12;""U3"";""SOT95P280X145-5N"";1;""LP2985IM5-2.7_NOPB"";;;",,,
"13;""R6"";""L_0402_1005Metric"";1;""49.9K"";;;",,,
"14;""U2"";""M7e_pico"";1;""M7E-Pico"";;;",,,
"15;""C7"";""C_0402_1005Metric"";1;""1.0U"";;;",,,
"16;""J3"";""PinHeader_1x04_P1.27mm_Vertical"";1;""Conn_01x04_Pin"";;;",,,
"17;""L3",L7,L1,"L5"";""L_0402_1005Metric"";4;""3.9N"";;;"
"18;""J4","J5"";""HRS_U.FL-R-SMT_10_"";2;""U.FL-R-SMT_10_"";;;",,
"19;""U1"";""QFN50P300X300X80-17N-D"";1;""SKY13380-350LF"";;;",,,
"20;""C6"";""C_0402_1005Metric"";1;""1.0N"";;;",,,
"21;""C1"";""C_0402_1005Metric"";1;""100P"";;;",,,
"22;""C14","C15"";""C_0402_1005Metric"";2;""56P"";;;",,
