Reference,Value,Footprint,Qty,Purchase-URL
C1,100P,Capacitor_SMD:C_0402_1005Metric,1,https://robu.in/product/ac0402jrnpo9bn101-yageo-cap-ceramic-100pf-50v-c0g-5-pad-smd-0402-125c-automotive-aec-q200-t-r/
"C2,C3,C4,C5",20P,Capacitor_SMD:C_0402_1005Metric,4,https://robu.in/product/grm1555c1h200ga01d-murata-cap-ceramic-20pf-50v-c0g-2-pad-smd-0402-125c-t-r/
C6,1.0N,Capacitor_SMD:C_0402_1005Metric,1,https://robu.in/product/1-nf-50v-0402-smd-multi-layer-ceramic-capacitor-0402b102k500ct-walsin-pack-of-20/?gad_source=4&gclid=Cj0KCQiA57G5BhDUARIsACgCYnyEx9v9xZTq9YFuNs82ZOPOGy1HCaC_O1jCsGQMTZ3MsMC0oNZTd5MaAoluEALw_wcB
C7,1.0U,Capacitor_SMD:C_0402_1005Metric,1,https://robu.in/product/1uf-capacitor-smdc-0402-pack-of-50/?gad_source=4&gclid=Cj0KCQiA57G5BhDUARIsACgCYnwrtomxDr_FUOZqQ2fv_NU89SqjCYh540M0_SywX5mddqL3YYf9gi4aAnLTEALw_wcB
"C8,C13",10N,Capacitor_SMD:C_0402_1005Metric,2,
C9,4.7U,Capacitor_SMD:C_0402_1005Metric,1,
"C14,C15",56P,Capacitor_SMD:C_0402_1005Metric,2,
IC1,74LVC1G86SE-7,Package_TO_SOT_SMD:SOT-353_SC-70-5,1,
J3,Conn_01x04_Pin,Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical,1,
"J4,J5,J6,J8",U.FL-R-SMT_10_,U.FL-R-SMT_10_:HRS_U.FL-R-SMT_10_,4,
J7,MDT420E01001,M.2-Key-E-Footprints:2230-key-E,1,
"JP3,JP4",SolderJumper_2_Open,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,
"L1,L3,L5,L7",3.9N,Inductor_SMD:L_0402_1005Metric,4,
"L2,L4,L6,L8",150N,Inductor_SMD:L_0402_1005Metric,4,
R1,1K,Inductor_SMD:L_0402_1005Metric,1,
"R6,R7",49.9K,Inductor_SMD:L_0402_1005Metric,2,
"R8,R9",100K,Inductor_SMD:L_0402_1005Metric,2,
"TP1,TP3",TestPoint,TestPoint:TestPoint_Pad_1.0x1.0mm,2,
U1,SKY13380-350LF,SKY13380_350LF:QFN_80-350LF_SKY,1,
U2,M7E-Pico,M7e:M7e_pico,1,
U3,LP2985IM5-2.7_NOPB,Package_TO_SOT_SMD:SOT-353_SC-70-5,1,
