Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100P","C_0402_1005Metric",155.100000,-73.400000,90.000000,top
"C2","20P","C_0402_1005Metric",143.300000,-69.815000,90.000000,top
"C3","20P","C_0402_1005Metric",150.200000,-69.315000,180.000000,top
"C4","20P","C_0402_1005Metric",162.300000,-66.320000,90.000000,top
"C5","20P","C_0402_1005Metric",169.700000,-66.100000,90.000000,top
"C6","1.0N","C_0402_1005Metric",155.650000,-66.700000,180.000000,top
"C7","1.0U","C_0402_1005Metric",168.110000,-72.900000,180.000000,top
"C8","10N","C_0402_1005Metric",171.950000,-76.300000,0.000000,top
"C9","4.7U","C_0402_1005Metric",173.870000,-73.350000,-90.000000,top
"C13","10N","C_0402_1005Metric",144.150000,-74.100000,-90.000000,top
"C14","56P","C_0402_1005Metric",145.950000,-72.400000,180.000000,top
"C15","56P","C_0402_1005Metric",142.125000,-74.600000,180.000000,top
"IC1","74LVC1G86SE-7","SOT-353_SC-70-5",144.800000,-76.800000,90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P1.27mm_Vertical",172.350000,-93.875000,0.000000,top
"J4","U.FL-R-SMT_10_","HRS_U.FL-R-SMT_10_",162.300000,-60.600000,90.000000,top
"J5","U.FL-R-SMT_10_","HRS_U.FL-R-SMT_10_",169.700000,-60.500000,90.000000,top
"J6","U.FL-R-SMT_10_","HRS_U.FL-R-SMT_10_",149.650000,-60.600000,90.000000,top
"J7","MDT420E01001","2230-key-E",145.505000,-97.780000,0.000000,top
"J8","U.FL-R-SMT_10_","HRS_U.FL-R-SMT_10_",143.300000,-60.600000,90.000000,top
"L1","3.9N","L_0402_1005Metric",143.300000,-67.715000,90.000000,top
"L2","150N","L_0402_1005Metric",142.000000,-67.715000,90.000000,top
"L3","3.9N","L_0402_1005Metric",149.700000,-67.715000,90.000000,top
"L4","150N","L_0402_1005Metric",148.575000,-67.740000,90.000000,top
"L5","3.9N","L_0402_1005Metric",162.300000,-64.215000,90.000000,top
"L6","150N","L_0402_1005Metric",161.100000,-64.200000,90.000000,top
"L7","3.9N","L_0402_1005Metric",169.700000,-64.100000,90.000000,top
"L8","150N","L_0402_1005Metric",170.900000,-64.100000,90.000000,top
"R1","1K","L_0402_1005Metric",169.550000,-76.400000,0.000000,top
"R6","49.9K","L_0402_1005Metric",142.700000,-77.225000,90.000000,top
"R7","49.9K","L_0402_1005Metric",146.500000,-74.000000,90.000000,top
"R8","100K","L_0402_1005Metric",142.125000,-75.700000,0.000000,top
"R9","100K","L_0402_1005Metric",145.450000,-74.050000,-90.000000,top
"U1","SKY13380-350LF","QFN_80-350LF_SKY",154.900000,-69.600000,-90.000000,top
"U2","M7E-Pico","M7e_pico",157.600000,-84.500000,0.000000,top
"U3","LP2985IM5-2.7_NOPB","SOT-353_SC-70-5",171.200000,-73.800000,0.000000,top
