Designator,Comment,Footprint,Qty,JLCPCB Part#
C1,100P,Capacitor_SMD:C_0402_1005Metric,1,C1546
"C2,C3,C4,C5",20P,Capacitor_SMD:C_0402_1005Metric,4,C1554
C6,1.0N,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,C1588
C7,1.0uF,Capacitor_SMD:C_0402_1005Metric,1,C52923
"C8,C13",10N,Capacitor_SMD:C_0402_1005Metric,2,C15195
C9,4.7U,Capacitor_SMD:C_0402_1005Metric,1,C23733
C10,100nF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,C307331
C11,22uF/10V,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,C45783
"C14,C15",56P,Capacitor_SMD:C_0402_1005Metric,2,C526981
"D4,D5,D6",KT-0603R,KT-0603R:LED_KT-0603R,3,C2286
F1,6V/1A,Fuse:Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,C2687879
IC1,74LVC1G86SE-7,74LVC1G86SE-7:SOT65P210X110-5N,1,C842497
J1,1054500101,1054500101:MOLEX_1054500101,1,C134092
"J4,J5,J6,J8",U.FL-R-SMT_10_,U.FL-R-SMT_10:HRS_U.FL-R-SMT_10_,4,C434812
"L1,L3,L5,L7",3.9N,Inductor_SMD:L_0402_1005Metric,4,C14033
"L2,L4,L6,L8",150N,Inductor_SMD:L_0402_1005Metric,4,C76781
R1,1k,Inductor_SMD:L_0402_1005Metric,1,C11702
"R2,R3,R4",2.2K/1%,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,3,C25879
"R6,R7",49.9K,Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,2,C23184
"R8,R9",100K,Inductor_SMD:L_0402_1005Metric,2,C25741
U1,PE42641MLBD-Z,PE42641MLBD-Z:16L_QFN_3X3_PSE,1,C2654719
U3,TPS70927DBVR,TPS70927DBVR:SOT95P280X145-5N,1,C2865335
U4,FT232RL-REEL,FT232RL_SSOP28bn:SSOP28-0.65-10.2X5.2MM,1,C8690
