Designator,Mid X,Mid Y,Rotation,Layer
C1,159.66,-73.52,90,top
C2,140.86,-66.37,90,top
C3,149.72,-66.57,90,top
C4,164.05,-66.25,90,top
C5,171.38,-66.0925,90,top
C6,155.4,-66.8,0,top
C7,150.755778,-78.891912,90,top
C8,148.605778,-78.911912,-90,top
C9,147.515778,-78.911912,90,top
C10,140.36,-98.88,0,top
C11,147.97,-75.3,0,top
C13,142.18,-83.63,180,top
C14,139.35,-85.44,90,top
C15,146.75,-86.41,0,top
D4,155.81,-99.37,90,top
D5,154.36,-99.36,90,top
D6,152.9,-99.38,90,top
F1,147.73,-72.79,180,top
IC1,142.5,-86.3,90,top
J1,137.3,-77.14,-90,top
J4,164.05,-60.53,90,top
J5,171.38,-60.4925,90,top
J6,149.65,-60.6,90,top
J8,140.87,-60.57,90,top
L1,140.86,-64.27,90,top
L2,139.56,-64.27,90,top
L3,149.7,-64.395,90,top
L4,148.575,-64.42,90,top
L5,164.05,-64.145,90,top
L6,162.85,-64.13,90,top
L7,171.38,-64.0925,90,top
L8,172.58,-64.0925,90,top
R1,149.705778,-78.901912,-90,top
R2,148.6,-88.68,90,top
R3,149.75,-88.68,90,top
R4,150.87,-88.69,90,top
R6,144.8,-86.3,90,top
R7,139.26,-87.32,180,top
R8,146.76,-85.17,180,top
R9,138.11,-85.44,-90,top
U1,159.389999,-70.0795,-90,top
U3,149.125778,-81.671912,180,top
U4,142.665,-93.555,180,top
